# {'k0': 0.5, 'sigma0': 188.49555921538757, 'N': 1, 'omega_out': 1086.9910581420684, 'sigma_out': 125.66370614359172, 'omegap': 1256.6370614359173, 'sigmap': 628.3185307179587}
x,p,wOut,wIn
-9.595959595959595,-4.545454545454546,7.033885840675453e-10,1.1903793395746287e-43
-9.595959595959595,-4.343434343434343,3.813429561364155e-09,6.82900435420521e-43
-9.595959595959595,-4.141414141414142,1.7176535761341638e-08,3.6159059291281426e-42
-9.595959595959595,-3.9393939393939394,6.746272615257378e-08,1.7672610547795363e-41
-9.595959595959595,-3.737373737373738,2.3698478147505782e-07,7.973415993891687e-41
-9.595959595959595,-3.5353535353535355,7.559965073305529e-07,3.321119863554396e-40
-9.595959595959595,-3.333333333333333,2.211996704309445e-06,1.277194941512266e-39
-9.595959595959595,-3.1313131313131315,5.977363180620794e-06,4.535217087607118e-39
-9.595959595959595,-2.929292929292929,1.4992050870809665e-05,1.487107628603936e-38
-9.595959595959595,-2.7272727272727275,3.503128326263416e-05,4.5032345763304453e-38
-9.595959595959595,-2.525252525252525,7.647737459962208e-05,1.2594415855863898e-37
-9.595959595959595,-2.3232323232323235,0.00015633585055389122,3.2533817856365484e-37
-9.595959595959595,-2.121212121212121,0.00029977756209272375,7.762943393507873e-37
-9.595959595959595,-1.9191919191919187,0.0005399690807831873,1.7111237223070758e-36
-9.595959595959595,-1.717171717171718,0.0009146697928778468,3.4843950344222366e-36
-9.595959595959595,-1.5151515151515156,0.001458439946379941,6.555256177459632e-36
-9.595959595959595,-1.3131313131313131,0.0021906307131024302,1.1394396763874413e-35
-9.595959595959595,-1.1111111111111107,0.0031014988884087483,1.8300082110700262e-35
-9.595959595959595,-0.9090909090909101,0.004141036301918647,2.7157688794203154e-35
-9.595959595959595,-0.7070707070707076,0.005216144270880963,3.724139352892401e-35
-9.595959595959595,-0.5050505050505052,0.0062004339819735745,4.7191607850374005e-35
-9.595959595959595,-0.30303030303030276,0.006956966357970363,5.526100113099395e-35
-9.595959595959595,-0.10101010101010033,0.007368919786813487,5.979903174179055e-35
-9.595959595959595,0.10101010101010033,0.007368919786813487,5.979903174179055e-35
-9.595959595959595,0.30303030303030276,0.006956966357970363,5.526100113099395e-35
-9.595959595959595,0.5050505050505052,0.0062004339819735745,4.7191607850374005e-35
-9.595959595959595,0.7070707070707076,0.005216144270880963,3.724139352892401e-35
-9.595959595959595,0.9090909090909083,0.004141036301918657,2.7157688794203154e-35
-9.595959595959595,1.1111111111111107,0.0031014988884087483,1.8300082110700262e-35
-9.595959595959595,1.3131313131313131,0.0021906307131024302,1.1394396763874413e-35
-9.595959595959595,1.5151515151515156,0.001458439946379941,6.555256177459632e-36
-9.595959595959595,1.7171717171717162,0.0009146697928778505,3.484395034422286e-36
-9.595959595959595,1.9191919191919187,0.0005399690807831873,1.7111237223070758e-36
-9.595959595959595,2.121212121212121,0.00029977756209272375,7.762943393507873e-37
-9.595959595959595,2.3232323232323235,0.00015633585055389122,3.2533817856365484e-37
-9.595959595959595,2.525252525252524,7.647737459962224e-05,1.2594415855863898e-37
-9.595959595959595,2.7272727272727266,3.5031283262634307e-05,4.503234576330444e-38
-9.595959595959595,2.929292929292929,1.4992050870809665e-05,1.487107628603936e-38
-9.595959595959595,3.1313131313131315,5.977363180620794e-06,4.535217087607118e-39
-9.595959595959595,3.333333333333334,2.2119967043094403e-06,1.2771949415122661e-39
-9.595959595959595,3.5353535353535346,7.559965073305563e-07,3.3211198635543957e-40
-9.595959595959595,3.737373737373737,2.3698478147506004e-07,7.973415993891685e-41
-9.595959595959595,3.9393939393939394,6.746272615257378e-08,1.7672610547795363e-41
-9.595959595959595,4.141414141414142,1.7176535761341638e-08,3.6159059291281426e-42
-9.595959595959595,4.3434343434343425,3.813429561364198e-09,6.829004354205208e-43
-9.595959595959595,4.545454545454545,7.0338858406756e-10,1.1903793395746454e-43
-9.595959595959595,4.747474747474747,9.576470120119762e-11,1.9149845604702868e-44
-9.595959595959595,4.94949494949495,5.4679269511347266e-12,2.842900756635123e-45
-9.595959595959595,5.1515151515151505,-1.4213695741911104e-12,3.894393476035026e-46
-9.595959595959595,5.353535353535353,-4.3883904627399995e-13,4.922270952604584e-47
-9.595959595959595,5.555555555555555,-2.448441620175466e-14,5.739913827161706e-48
-9.595959595959595,5.757575757575758,8.71624108718825e-15,6.174856241947434e-49
-9.595959595959595,5.9595959595959584,-6.382804208827129e-15,6.127711596813109e-50
-9.595959595959595,6.161616161616163,-8.902764715420468e-15,5.609047279455389e-51
-9.595959595959595,6.363636363636363,-5.458861226555477e-15,4.735540400474985e-52
-9.595959595959595,6.565656565656564,-2.423167728891886e-15,3.687321816380351e-53
-9.595959595959595,6.767676767676768,-8.818529557247813e-16,2.6478053396973006e-54
-9.595959595959595,6.969696969696969,-2.7751537016825295e-16,1.7533480280275968e-55
-9.595959595959595,7.171717171717173,-7.769361898691029e-17,1.070611534879595e-56
-9.595959595959595,7.373737373737374,-1.9684480582365597e-17,6.027721358283344e-58
-9.595959595959595,7.575757575757574,-4.564180774107506e-18,3.129022751036029e-59
-9.595959595959595,7.777777777777779,-9.760425457405603e-19,1.4975333496952103e-60
-9.595959595959595,7.979797979797979,-1.9358762878820073e-19,6.607474705214657e-62
-9.595959595959595,8.18181818181818,-3.576124955299133e-20,2.687607137525573e-63
-9.595959595959595,8.383838383838384,-6.1727200030871454e-21,1.007739787125823e-64
-9.595959595959595,8.585858585858585,-9.980970768653009e-22,3.4830959919916616e-66
-9.595959595959595,8.787878787878789,-1.5149073597328749e-22,1.1096855962385505e-67
-9.595959595959595,8.98989898989899,-2.16190877109422e-23,3.258636480375235e-69
-9.595959595959595,9.19191919191919,-2.904840316993578e-24,8.81979007852104e-71
-9.595959595959595,9.393939393939394,-3.6790769835837414e-25,2.2001522562007202e-72
-9.595959595959595,9.595959595959595,-4.396511546189097e-26,5.058316649334463e-74
-9.595959595959595,9.7979797979798,-4.961232115838483e-27,1.0717796984982318e-75
-9.595959595959595,10.0,-5.290442754482449e-28,2.092856767437348e-77
-9.393939393939394,-10.0,-8.595633010270185e-28,9.127398959054113e-76
-9.393939393939394,-9.797979797979798,-8.091262108692609e-27,4.668088837638009e-74
-9.393939393939394,-9.595959595959595,-7.200259705267346e-26,2.2001522562007202e-72
-9.393939393939394,-9.393939393939394,-6.053294511039393e-25,9.556516847536853e-71
