# {'k0': 0.5, 'sigma0': 188.49555921538757, 'N': 3, 'f_out': 173, 'sigma_out': 125.66370614359172, 'omegap': 1256.6370614359173, 'sigmap': 628.3185307179587}
x,p,wIn1,wIn2,wIn3,wOut,wOutP,wOutS
-6.0,4.666666666666668,4.98777441934566e-118,1.2588748496092818e-56,2.191341161791684e-38,9.363404265709798e-10,1.440382967705307e-12,7.913370401731651e-94
-6.0,4.787878787878789,4.271200015731214e-118,8.954106696844056e-57,1.2654334615792323e-38,7.530975642108739e-10,1.1168988468120762e-12,6.410732239781794e-94
-6.0,4.90909090909091,3.6430565735238118e-118,6.313469975998876e-57,7.20533204082333e-39,6.023425154369137e-10,8.604334668756952e-13,5.165457716101827e-94
-6.0,5.030303030303031,3.0949584411728066e-118,4.4128597029887173e-57,4.0453308923173754e-39,4.790828235680522e-10,6.585493598532483e-13,4.139663241861286e-94
-6.0,5.151515151515152,2.6188862054990435e-118,3.057583086483424e-57,2.239440200718935e-39,3.789243284381992e-10,5.007569159699512e-13,3.299713584063495e-94
-6.0,5.272727272727273,2.2072490298789627e-118,2.1001125044643656e-57,1.2223913168000332e-39,2.98036315376273e-10,3.782972345350037e-13,2.6160287078636983e-94
-6.0,5.3939393939393945,1.8529296946540379e-118,1.4299241487076787e-57,6.579098818215152e-40,2.331098840981508e-10,2.839271762078179e-13,2.0628316957053588e-94
-6.0,5.515151515151516,1.5493140100293266e-118,9.65138381235661e-58,3.491466906540534e-40,1.8131218773905232e-10,2.1171339973289203e-13,1.6178569367206825e-94
-6.0,5.636363636363637,1.2903064109002968e-118,6.457617532774499e-58,1.8269843093889291e-40,1.402387767216533e-10,1.5684017401414721e-13,1.262035188460707e-94
-6.0,5.757575757575758,1.070333607766867e-118,4.283129429088202e-58,9.426426209621844e-41,1.0786586694209202e-10,1.1543403349932486e-13,9.791694214739416e-95
-6.0,5.878787878787879,8.843381678447384e-119,2.8161528536576823e-58,4.79561924087553e-41,8.25039551672894e-11,8.440691217184862e-14,7.556127020804763e-95
-6.0,6.0,7.277638461452785e-119,1.8355127058403437e-58,2.405623639953486e-41,6.275383999191603e-11,6.131824849158291e-14,5.7995685591752676e-95
-5.878787878787879,-6.0,3.0375039583719915e-114,2.3291028721038694e-56,4.856370636970405e-40,1.1078474692818313e-10,1.378123695592816e-13,2.501842733163491e-91
-5.878787878787879,-5.878787878787879,3.691005948695621e-114,3.5734482680874115e-56,9.681192053769702e-40,1.456513226116484e-10,1.8970399285265593e-13,3.2595944482720266e-91
-5.878787878787879,-5.757575757575758,4.467304315253702e-114,5.434911468136498e-56,1.902966810588081e-39,1.904248851211038e-10,2.594372487092673e-13,4.2239830026232956e-91
-5.878787878787879,-5.636363636363637,5.385415683097872e-114,8.194144063768541e-56,3.688238179474161e-39,2.475755649475432e-10,3.5249728351172143e-13,5.444221467563855e-91
-5.878787878787879,-5.515151515151516,6.46644850957027e-114,1.2246750287051492e-55,7.0484248172774e-39,3.2008598734760623e-10,4.758245057936755e-13,6.979180570301562e-91
-5.878787878787879,-5.393939393939394,7.733664308700917e-114,1.8144469559098052e-55,1.3281604731455225e-38,4.115289123278914e-10,6.38124504499606e-13,8.898731750441935e-91
-5.878787878787879,-5.2727272727272725,9.212504442040815e-114,2.6648565549699522e-55,2.4677115734986933e-38,5.261491213704525e-10,8.502206043303493e-13,1.1285136723078232e-90
-5.878787878787879,-5.151515151515151,1.0930574880661454e-113,3.879801826359132e-55,4.520886581507335e-38,6.689476825062084e-10,1.1254479516402083e-12,1.4234445834336469e-90
-5.878787878787879,-5.03030303030303,1.2917581116255529e-113,5.599527682766392e-55,8.166541862990358e-38,8.457660817802289e-10,1.4800854555651979e-12,1.7857856655577625e-90
-5.878787878787879,-4.909090909090909,1.520520539906388e-113,8.011233595524656e-55,1.4545817712929133e-37,1.0633670090206464e-09,1.933818689138264e-12,2.22829728084642e-90
-5.878787878787879,-4.787878787878788,1.7826918750499383e-113,1.1361967453772712e-54,2.554603223791114e-37,1.32950785281157e-09,2.510222982940063e-12,2.7654891402190413e-90
-5.878787878787879,-4.666666666666666,2.081772077917242e-113,1.5974005619873827e-54,4.423786288496698e-37,1.6530022259937596e-09,3.237251466495288e-12,3.4137036285365994e-90
-5.878787878787879,-4.545454545454545,2.4213801255197417e-113,2.2262824935009676e-54,7.553533986315763e-37,2.043764149948584e-09,4.1477078374812635e-12,4.191164428438076e-90
-5.878787878787879,-4.424242424242424,2.805211869494894e-113,3.075762912523136e-54,1.2717203009472425e-36,2.512828922711567e-09,5.279678343701814e-12,5.1179803546162305e-90
-5.878787878787879,-4.303030303030303,3.2369892891657297e-113,4.212419232775483e-54,2.111146578782588e-36,3.072344239012349e-09,6.676892103346168e-12,6.216093794062979e-90
-5.878787878787879,-4.181818181818182,3.720401039678598e-113,5.71895217015631e-54,3.455656281000033e-36,3.735524881033976e-09,8.388973801418781e-12,7.509163016827683e-90
-5.878787878787879,-4.0606060606060606,4.2590344397388313e-113,7.69675191040511e-54,5.577352022669092e-36,4.5165643204483896e-09,1.047154839731963e-11,9.022367971752127e-90
-5.878787878787879,-3.9393939393939394,4.856299321132052e-113,1.0268444456633128e-53,8.875870179222193e-36,5.4304969267640665e-09,1.2986154238659494e-11,1.0782130101252021e-89
-5.878787878787879,-3.8181818181818183,5.515344468155061e-113,1.3580256560500398e-53,1.3927693267064404e-35,6.493005219510219e-09,1.5999919422770555e-11,1.2815738273097594e-89
-5.878787878787879,-3.696969696969697,6.238967701849386e-113,1.7803993933887808e-53,2.1549282417444477e-35,7.720167776070407e-09,1.958495691843872e-11,1.5150875187792142e-89
-5.878787878787879,-3.5757575757575757,7.029521002170602e-113,2.313838520353383e-53,3.2875457048475106e-35,9.128145039898354e-09,2.3817437370742033e-11,1.7815041599927745e-89
-5.878787878787879,-3.4545454545454546,7.888812399654512e-113,2.980950760707506e-53,4.945339970279945e-35,1.073280236989953e-08,2.8776305105486362e-11,2.0834879375447738e-89
-5.878787878787879,-3.333333333333333,8.818006693976655e-113,3.80699848822803e-53,7.335097203383079e-35,1.2549272208234566e-08,3.4541612947622056e-11,2.4235398734511702e-89
-5.878787878787879,-3.212121212121212,9.817527356000827e-113,4.8196638882692635e-53,1.0727560219876419e-34,1.4591460166911119e-08,4.119246521418791e-11,2.803911989335049e-89
-5.878787878787879,-3.090909090909091,1.0886962227750188e-112,6.048628999316659e-53,1.5469683058961299e-34,1.6871503056047026e-08,4.880457555222941e-11,3.2265144558979376e-89
-5.878787878787879,-2.9696969696969697,1.2024975836342566e-112,7.524944277425703e-53,2.1996178634577134e-34,1.939919027753079e-08,5.7447466809426464e-11,3.692817813902662e-89
-5.878787878787879,-2.8484848484848486,1.3229231269014632e-112,9.280166660216027e-53,3.0838867932489842e-34,2.21813634340178e-08,6.718136319218029e-11,4.20375288514471e-89
-5.878787878787879,-2.727272727272727,1.4496324603809344e-112,1.1345258858871312e-52,4.263192893916535e-34,2.5221312274549492e-08,7.805384961372815e-11,4.7596114865436796e-89
