# {'k0': 0.5, 'sigma0': 188.49555921538757, 'N': 3, 'sigma_out': 125.66370614359172, 'omegap': 1256.6370614359173, 'sigmap': 628.3185307179587}
alpha,fOut,scalex,scalep,thermx,thermp
1139393.9393939395,171,-3.852292666687698,1.1937708777846565,1.7757739253553155,1.752657544815173
1188888.888888889,171,-4.1244741851319535,1.2781078979795342,1.7714574261438112,1.7483346991464985
1238383.8383838385,171,-4.4119584785526325,1.3671870015384981,1.767619371086663,1.7444919198708153
1287878.787878788,171,-4.715812182177287,1.4613386930336847,1.7642091354635343,1.7410782067210158
1337373.7373737374,171,-5.037162665557957,1.5609122975442744,1.7611807869779412,1.7380473345665015
1386868.686868687,171,-5.377202215393208,1.6662772567346467,1.7584928456281301,1.7353575956872493
1436363.6363636365,171,-5.737192459205172,1.7778244995699983,1.756107990226314,1.7329714923070434
1485858.585858586,171,-6.118469046285149,1.8959678927550425,1.7539927397641173,1.7308554068819584
1535353.5353535356,171,-6.522446603275764,2.021145776277257,1.752117128595203,1.7289792685358694
1584848.4848484849,171,-6.950623982776456,2.153822589751882,1.750454387829118,1.7273162275644478
1634343.4343434344,171,-7.404589824446153,2.2944905956027624,1.7489806406969026,1.7258423453858327
1683838.383838384,171,-7.886028449236392,2.4436717054724686,1.747674616424935,1.724536304167173
1733333.3333333335,171,-8.396726108624046,2.601919416638061,1.746517384942138,1.7233791382065533
1782828.282828283,171,-8.93857761202995,2.769820865617084,1.7454921132559726,1.7223539877101306
1832323.2323232323,171,-9.513593357012796,2.9479990065831276,1.7445838433529415,1.7214458746650392
1881818.1818181819,171,-10.12390678832211,3.13711492267341,1.7437792908571628,1.7206414999188544
1931313.1313131314,171,-10.771782313485172,3.337870278763864,1.7430666633066456,1.7199290602282753
1980808.080808081,171,-11.45962370429669,3.551009924812087,1.7424354967033326,1.7192980838567329
2030303.0303030305,171,-12.189983015382767,3.777324659427229,1.7418765089046993,1.7187392832286106
2079797.9797979798,171,-12.96557005292914,4.017654163920229,1.7413814684128197,1.71824442314878
2129292.9292929294,171,-13.78926242870505,4.272890117720511,1.7409430771541619,1.717806203143693
2178787.878787879,171,-14.664116236685441,4.543979506717998,1.7405548659110321,1.7174181525559384
2228282.8282828284,171,-15.593377391884419,4.831928136805227,1.7402111011506094,1.7170745371154719
2277777.777777778,171,-16.580493673469658,5.137804365655616,1.7399067020909194,1.7167702758091499
2327272.7272727275,171,-17.629127516840654,5.462743066583659,1.7396371669391204,1.7165008669700559
2376767.676767677,171,-18.7431696021324,5.807949839193933,1.7393985073321006,1.716262322605812
2426262.6262626266,171,-19.926753289561162,6.174705482441402,1.739187190100294,1.7160511100783666
2475757.575757576,171,-21.184269955170723,6.564370746699124,1.7390000855612704,1.7158641003352577
2525252.525252525,171,-22.52038528387866,6.978391382464705,1.7388344216293579,1.7156985219735268
2574747.474747475,171,-23.940056580273396,7.418303504437339,1.7386877431009022,1.715551920491937
